,MACHINE,PLANT,MACHINE_TYPE,LOCATION_ZONE,CRITICALITY_CLASS,RISK_TIER,SCORE,TOP_SIGNAL,RECOMMENDED_ACTION,LAST_READING
0,MCH_B03,PLANT_B,TURBINE,ZONE_B,CRITICAL,CRITICAL,0.8341,VIBRATION,IMMEDIATE SHUTDOWN - emergency maintenance within 4 hours,2026-05-15 06:00
1,MCH_A01,PLANT_A,COMPRESSOR,ZONE_A,CRITICAL,CRITICAL,0.8334,VIBRATION,IMMEDIATE SHUTDOWN - emergency maintenance within 4 hours,2026-05-19 12:00
2,MCH_B04,PLANT_B,CONVEYOR,ZONE_C,STANDARD,HIGH,0.7738,ERROR_CODE_E5XX,URGENT - schedule maintenance within 24 hours,2026-05-19 15:00
3,MCH_A02,PLANT_A,PUMP,ZONE_A,STANDARD,HIGH,0.6911,ERROR_CODE_E5XX,URGENT - schedule maintenance within 24 hours,2026-05-17 23:00
4,MCH_C06,PLANT_C,TURBINE,ZONE_C,CRITICAL,HIGH,0.6471,ERROR_CODE_E5XX,URGENT - schedule maintenance within 24 hours,2026-05-14 11:00
5,MCH_C05,PLANT_C,MIXER,ZONE_A,STANDARD,MEDIUM,0.5351,VIBRATION,MONITOR - plan maintenance within 7 days; review VIBRATION,2026-05-19 01:00
6,MCH_B05,PLANT_B,COMPRESSOR,ZONE_B,STANDARD,MEDIUM,0.5189,VIBRATION,MONITOR - plan maintenance within 7 days; review VIBRATION,2026-05-18 16:00
7,MCH_A03,PLANT_A,PUMP,ZONE_B,STANDARD,MEDIUM,0.511,VIBRATION,MONITOR - plan maintenance within 7 days; review VIBRATION,2026-05-19 02:00
8,MCH_C07,PLANT_C,CONVEYOR,ZONE_A,STANDARD,LOW,0.3087,VIBRATION,NORMAL - continue standard monitoring schedule,2026-05-18 11:00
9,MCH_C08,PLANT_C,MIXER,ZONE_B,STANDARD,LOW,0.2929,VIBRATION,NORMAL - continue standard monitoring schedule,2026-05-06 13:00
10,MCH_C08,PLANT_C,MIXER,ZONE_B,STANDARD,LOW,0.2929,TEMPERATURE,NORMAL - continue standard monitoring schedule,2026-05-15 11:00
