machine_id,plant_id,machine_type,install_date,baseline_temp_c,baseline_vibration,baseline_pressure_bar,baseline_power_kw,baseline_stddev_temp,baseline_stddev_vibration,service_interval_hours,last_service_ts,location_zone,criticality_class
MCH_A01,PLANT_A,COMPRESSOR,2021-03-15,85.0,2.5,12.0,150.0,3.0,0.4,2000,2026-01-28 18:00:00,ZONE_A,CRITICAL
MCH_B03,PLANT_B,TURBINE,2019-07-22,120.0,3.2,18.0,320.0,4.0,0.5,1500,2026-02-17 08:00:00,ZONE_B,CRITICAL
MCH_A02,PLANT_A,PUMP,2020-11-10,65.0,1.8,8.5,75.0,2.5,0.3,1800,2026-02-12 08:00:00,ZONE_A,STANDARD
MCH_B04,PLANT_B,CONVEYOR,2022-01-05,45.0,1.2,4.0,40.0,2.0,0.25,2500,2026-01-14 04:00:00,ZONE_C,STANDARD
MCH_C05,PLANT_C,MIXER,2021-06-18,55.0,2.0,6.0,90.0,2.8,0.35,2000,2026-02-06 02:00:00,ZONE_A,STANDARD
MCH_A03,PLANT_A,PUMP,2022-04-20,70.0,2.1,9.0,85.0,3.0,0.4,2200,2026-02-16 12:00:00,ZONE_B,STANDARD
MCH_B05,PLANT_B,COMPRESSOR,2020-09-14,90.0,2.8,14.0,180.0,3.5,0.45,1800,2026-03-01 00:00:00,ZONE_B,STANDARD
MCH_C06,PLANT_C,TURBINE,2019-12-01,110.0,3.0,16.0,280.0,4.0,0.5,1600,2026-03-05 04:00:00,ZONE_C,CRITICAL
MCH_C07,PLANT_C,CONVEYOR,2023-02-28,40.0,1.0,3.5,30.0,1.5,0.2,3000,2026-04-07 12:00:00,ZONE_A,STANDARD
MCH_C08,PLANT_C,MIXER,2023-05-10,50.0,1.5,5.0,60.0,2.0,0.25,2800,2026-04-11 16:00:00,ZONE_B,STANDARD
